Age,Gender,Height,Weight,Daily Calorie Target,Protein,Carbohydrates,Fat,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion,Breakfast Category,Activity_Lightly Active,Activity_Moderately Active,Activity_Sedentary,Activity_Very Active,Goal_Maintenance,Goal_Muscle Gain,Goal_Weight Loss,Goal_Weight Maintenance,Diet_Omnivore,Diet_Vegan,Diet_Vegetarian,Breakfast Category Encoded
45.0,1,182.0,80.0,2000,90,220,60,greek yogurt with fruit and granola,Chicken breast salad with vegetables,Turkey chili with brown rice,Fruit and yogurt,yogurt-based,True,False,False,False,False,False,True,False,True,False,False,5
25.0,1,180.0,80.0,2200,120,250,60,oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Greek yogurt with fruit,oatmeal-based,False,True,False,False,False,False,True,False,True,False,False,1
32.0,0,165.0,65.0,2000,100,200,60,tofu scramble with whole-wheat toast,Lentil soup with whole-wheat bread,Vegetable stir-fry with brown rice,Trail mix with nuts and dried fruit,tofu-based,True,False,False,False,False,True,False,False,False,False,True,4
55.0,1,175.0,90.0,2000,80,250,50,tofu and vegetable breakfast burrito,Black bean burger on a whole-wheat bun,Lentil pasta with marinara sauce,Fruit salad with nuts,tofu-based,False,False,True,False,True,False,False,False,False,True,False,4
68.0,0,160.0,75.0,1800,80,180,50,greek yogurt with granola,Chicken breast salad with mixed greens,Turkey meatballs with steamed vegetables,Popcorn,yogurt-based,True,False,False,False,False,False,True,False,True,False,False,5
28.0,1,185.0,95.0,3000,160,350,80,scrambled eggs with avocado and whole-wheat toast,Chicken breast with brown rice and vegetables,Steak with sweet potato fries,Protein shake with banana,egg-based,False,False,False,True,False,True,False,False,True,False,False,0
38.0,0,170.0,70.0,1800,80,200,50,overnight oats with chia seeds and fruit,Tofu and vegetable stir-fry with brown rice,Lentil soup with whole-wheat bread,Fruit salad with nuts,oatmeal-based,False,True,False,False,False,False,True,False,False,True,False,1
62.0,1,170.0,85.0,2200,80,270,60,pancakes with fruit and syrup,Grilled chicken sandwich with whole-wheat bread,Chicken stir-fry with brown rice,Popcorn,pancake-based,False,False,True,False,True,False,False,False,True,False,False,3
45.0,0,168.0,60.0,2400,120,280,70,tofu scramble with whole-wheat toast,Black bean burger on a whole-wheat bun,Chickpea curry with brown rice,Energy bar with nuts and seeds,tofu-based,False,False,False,True,False,True,False,False,False,False,True,4
22.0,0,172.0,55.0,1800,80,200,50,overnight oats with chia seeds and fruit,Tofu and vegetable stir-fry with brown rice,Lentil stew with whole-wheat bread,Trail mix with nuts and dried fruit,oatmeal-based,False,True,False,False,False,False,True,False,False,True,False,1
58.0,1,178.0,98.0,2000,80,250,50,scrambled eggs with whole-wheat toast,Tuna salad sandwich with whole-wheat bread,Chicken breast with roasted vegetables,Fruit salad with nuts,egg-based,False,False,True,False,True,False,False,False,True,False,False,0
25.0,1,180.0,85.0,2000,120,250,65,greek yogurt with berries and granola,Chicken breast salad with mixed greens,Salmon with roasted vegetables,Apple with peanut butter,yogurt-based,True,False,False,False,False,False,True,False,True,False,False,5
32.0,0,165.0,60.0,2200,100,300,70,tofu scramble with whole-wheat toast,Lentil soup with whole-wheat bread,Tofu stir-fry with brown rice,Trail mix with nuts and dried fruit,tofu-based,False,True,False,False,False,True,False,False,False,False,True,4
48.0,1,175.0,95.0,2800,150,350,90,oatmeal with fruit and nuts,Chicken and vegetable stir-fry,Beef stew with brown rice,Protein bar,oatmeal-based,False,False,False,True,True,False,False,False,True,False,False,1
55.0,0,160.0,70.0,1600,80,200,50,tofu scramble with spinach and avocado toast,Lentil soup with whole-wheat bread,Vegan chili with brown rice,Fruit salad with nuts,tofu-based,False,False,True,False,False,False,True,False,False,True,False,4
28.0,1,185.0,90.0,2600,130,350,80,tofu and veggie breakfast burrito,Lentil and quinoa salad,Vegan pasta with marinara sauce,Smoothie with protein powder and fruit,tofu-based,False,True,False,False,False,True,False,False,False,True,False,4
62.0,0,155.0,65.0,1800,90,220,60,eggs with whole-wheat toast,Chicken salad sandwich with mixed greens,Fish with roasted vegetables,Greek yogurt with fruit,egg-based,True,False,False,False,False,False,True,False,True,False,False,0
35.0,0,170.0,75.0,2400,110,320,75,quinoa porridge with fruit and nuts,Chickpea and vegetable curry,Black bean burgers on whole-wheat buns,Trail mix with nuts and seeds,other,False,False,False,True,False,True,False,False,False,False,True,2
22.0,1,190.0,80.0,2100,100,270,65,tofu scramble with vegetables and whole-wheat toast,Black bean burgers with sweet potato fries,Vegan stir-fry with brown rice,Fruit salad with nuts,tofu-based,False,True,False,False,False,False,True,False,False,True,False,4
58.0,1,178.0,100.0,2400,120,300,75,scrambled eggs with bacon and whole-wheat toast,Chicken Caesar salad,Grilled salmon with roasted vegetables,Mixed nuts,egg-based,False,False,True,False,True,False,False,False,True,False,False,0
40.0,0,168.0,72.0,2000,90,250,65,greek yogurt with fruit and granola,Chickpea salad sandwich with whole-wheat bread,Lentil stew with brown rice,Smoothie with protein powder and fruit,yogurt-based,True,False,False,False,False,True,False,False,False,False,True,5
25.0,1,180.0,80.0,2800,160,350,80,oatmeal with protein powder and berries,Chicken breast with brown rice and vegetables,Salmon with sweet potato and broccoli,Greek yogurt with nuts and seeds,oatmeal-based,False,True,False,False,False,True,False,False,True,False,False,1
32.0,0,165.0,60.0,1800,100,220,50,tofu scramble with vegetables and whole-wheat toast,Vegetarian chili with a side salad,Lentil soup with whole-wheat bread,Apple with peanut butter,tofu-based,True,False,False,False,False,False,True,False,False,False,True,4
55.0,1,175.0,90.0,2200,120,250,60,eggs with whole-wheat toast and avocado,Grilled chicken salad with mixed greens,Tuna with quinoa and roasted vegetables,Trail mix with almonds and dried fruit,egg-based,False,False,True,False,True,False,False,False,True,False,False,0
28.0,0,170.0,65.0,2400,140,300,70,tofu scramble with vegetables and whole-wheat toast,Black bean burger with sweet potato fries,Lentil stew with brown rice,Banana with almond butter,tofu-based,False,False,False,True,False,True,False,False,False,True,False,4
62.0,0,160.0,70.0,1600,80,180,40,greek yogurt with berries and granola,Grilled salmon with roasted vegetables,Chicken breast with steamed vegetables,Fruit salad with nuts and seeds,yogurt-based,True,False,False,False,False,False,True,False,True,False,False,5
21.0,1,190.0,95.0,3000,180,400,90,pancakes with fruit and syrup,Chicken stir-fry with brown rice,Steak with baked potato and green beans,Protein shake with fruit,pancake-based,False,True,False,False,False,True,False,False,True,False,False,3
35.0,0,168.0,55.0,1500,80,160,40,greek yogurt with berries and granola,Vegetarian chili with a side salad,Lentil soup with whole-wheat bread,Apple with peanut butter,yogurt-based,False,False,True,False,False,False,True,False,False,False,True,5
68.0,0,155.0,65.0,1700,80,190,50,scrambled eggs with vegetables and whole-wheat toast,Black bean burger with sweet potato fries,Vegetarian lasagna with salad,Fruit salad with nuts and seeds,egg-based,True,False,False,False,True,False,False,False,False,False,True,0
25.0,0,165.0,60.0,1800,100,200,60,greek yogurt with berries and granola,Tuna salad sandwich on whole-wheat bread with a side of mixed greens,Salmon with roasted vegetables and quinoa,Apple slices with almond butter,yogurt-based,True,False,False,False,False,False,True,False,True,False,False,5
32.0,1,180.0,85.0,2800,180,300,80,scrambled eggs with whole-wheat toast and avocado,Chicken breast with quinoa and steamed vegetables,Steak with baked potato and broccoli,Protein shake with banana,egg-based,False,True,False,False,False,True,False,False,True,False,False,0
48.0,0,170.0,75.0,2000,80,220,70,oatmeal with fruit and nuts,Lentil soup with whole-wheat bread,Vegetarian chili with brown rice,Trail mix with dried fruit and nuts,oatmeal-based,False,False,True,False,True,False,False,False,False,False,True,1
55.0,1,175.0,90.0,2500,160,280,70,tofu scramble with veggies and whole-wheat toast,Lentil and vegetable curry with brown rice,Black bean burgers with sweet potato fries,Banana with almond butter,tofu-based,False,True,False,False,False,True,False,False,False,True,False,4
62.0,0,160.0,65.0,1600,80,180,50,overnight oats with fruit and nuts,Vegetable stir-fry with brown rice,Lentil and vegetable stew,Apple slices with peanut butter,oatmeal-based,True,False,False,False,False,False,True,False,False,True,False,1
28.0,1,190.0,100.0,3200,200,350,90,oatmeal with protein powder and fruit,Chicken breast with brown rice and steamed vegetables,Beef stir-fry with brown rice,Protein bar,oatmeal-based,False,False,False,True,False,True,False,False,True,False,False,1
35.0,0,168.0,55.0,1500,70,170,50,greek yogurt with fruit and granola,Black bean burger with whole-wheat bun and salad,Lentil soup with whole-wheat bread,Trail mix with dried fruit and nuts,yogurt-based,False,False,True,False,False,False,True,False,False,False,True,5
42.0,1,185.0,95.0,2400,150,260,70,tofu scramble with veggies and whole-wheat toast,Lentil and vegetable curry with brown rice,Black bean burgers with sweet potato fries,Banana with almond butter,tofu-based,False,True,False,False,True,False,False,False,False,True,False,4
21.0,0,172.0,58.0,1700,90,190,60,eggs with whole-wheat toast and avocado,Chicken salad sandwich on whole-wheat bread with a side of mixed greens,Salmon with roasted vegetables and quinoa,Apple slices with almond butter,egg-based,True,False,False,False,False,False,True,False,True,False,False,0
58.0,1,178.0,80.0,2100,70,230,70,oatmeal with fruit and nuts,Lentil soup with whole-wheat bread,Vegetarian chili with brown rice,Trail mix with dried fruit and nuts,oatmeal-based,False,False,True,False,True,False,False,False,False,False,True,1
25.0,1,180.0,80.0,2000,120,250,60,greek yogurt with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Fruit and nuts,yogurt-based,False,True,False,False,False,False,True,False,True,False,False,5
38.0,0,165.0,65.0,1800,80,220,60,oatmeal with fruit and nuts,Lentil soup with whole grain bread,Tofu stir-fry with brown rice,Vegetable sticks with hummus,oatmeal-based,False,False,True,False,True,False,False,False,False,False,True,1
62.0,1,175.0,90.0,2500,180,300,80,scrambled eggs with whole wheat toast and avocado,Chicken breast with brown rice and steamed vegetables,Beef stew with whole grain bread,Protein shake,egg-based,True,False,False,False,False,True,False,False,True,False,False,0
45.0,0,170.0,75.0,2200,100,280,60,tofu scramble with whole wheat toast and avocado,Lentil salad with quinoa and mixed greens,Chickpea curry with brown rice,Fruit and nut mix,tofu-based,False,False,False,True,False,False,True,False,False,True,False,4
58.0,1,178.0,85.0,2200,100,270,70,yogurt with fruit and granola,Turkey sandwich on whole grain bread,Chicken breast with roasted vegetables,Trail mix,yogurt-based,False,False,True,False,True,False,False,False,True,False,False,5
22.0,0,160.0,55.0,2000,100,250,60,oatmeal with protein powder and fruit,Bean burrito with brown rice,Chickpea and vegetable pasta,Greek yogurt with fruit and nuts,oatmeal-based,False,True,False,False,False,True,False,False,False,False,True,1
68.0,1,170.0,70.0,1800,80,220,60,scrambled eggs with whole wheat toast and fruit,Tuna salad with whole grain bread,Salmon with steamed vegetables,Mixed nuts,egg-based,True,False,False,False,False,False,True,False,True,False,False,0
30.0,0,168.0,60.0,2400,120,300,80,tofu scramble with whole wheat toast and avocado,Lentil salad with quinoa and mixed greens,Chickpea curry with brown rice,Fruit and nut mix,tofu-based,False,False,False,True,False,True,False,False,False,True,False,4
55.0,0,165.0,78.0,1900,80,230,60,yogurt with fruit and granola,Black bean soup with whole wheat bread,Vegetable stir-fry with brown rice,Trail mix,yogurt-based,False,False,True,False,True,False,False,False,False,False,True,5
28.0,1,185.0,100.0,2800,160,350,100,eggs with whole wheat toast and avocado,Chicken breast with brown rice and steamed vegetables,Steak with sweet potato and green beans,Protein shake,egg-based,False,True,False,False,False,True,False,False,True,False,False,0
25.0,0,165.0,60.0,1800,100,200,60,greek yogurt with berries and almonds,Grilled chicken salad with mixed greens,Lentil soup with whole-wheat bread,Apple with peanut butter,yogurt-based,True,False,False,False,False,False,True,False,True,False,False,5
32.0,1,180.0,85.0,2800,180,350,80,scrambled eggs with whole-wheat toast and avocado,Chicken breast with brown rice and steamed vegetables,Salmon with roasted sweet potatoes,Protein shake,egg-based,False,True,False,False,False,True,False,False,True,False,False,0
55.0,0,160.0,70.0,1600,80,180,50,oatmeal with fruit and nuts,Lentil and vegetable curry with brown rice,Black bean burgers on whole-wheat buns,Hummus with vegetables,oatmeal-based,False,False,True,False,False,False,True,False,False,False,True,1
40.0,1,190.0,95.0,3200,160,400,90,tofu scramble with vegetables and whole-wheat toast,Lentil stew with brown rice and quinoa,Chickpea and vegetable curry with brown rice,Trail mix with nuts and dried fruits,tofu-based,False,False,False,True,False,True,False,False,False,True,False,4
62.0,1,175.0,80.0,2400,140,280,70,eggs with whole-wheat toast and bacon,Chicken breast with roasted vegetables,Steak with mashed potatoes and green beans,Greek yogurt with berries,egg-based,False,True,False,False,True,False,False,False,True,False,False,0
28.0,0,170.0,55.0,1500,70,160,40,overnight oats with fruit and chia seeds,Lentil and vegetable soup with whole-wheat bread,Tofu stir-fry with brown rice and vegetables,Banana with almond butter,oatmeal-based,False,False,True,False,False,False,True,False,False,True,False,1
38.0,0,168.0,65.0,2000,90,220,60,scrambled tofu with whole-wheat toast and avocado,Black bean burgers on whole-wheat buns with salad,Lentil and vegetable soup with whole-wheat bread,Trail mix with nuts and dried fruits,tofu-based,True,False,False,False,True,False,False,False,False,False,True,4
58.0,1,178.0,85.0,2800,150,350,80,tofu scramble with vegetables and whole-wheat toast,Lentil and vegetable curry with brown rice and quinoa,Chickpea and vegetable curry with brown rice,Trail mix with nuts and dried fruits,tofu-based,False,True,False,False,False,True,False,False,False,True,False,4
22.0,1,185.0,90.0,3000,170,380,80,eggs with whole-wheat toast and bacon,Chicken breast with brown rice and steamed vegetables,Steak with mashed potatoes and green beans,Protein shake,egg-based,False,False,False,True,False,True,False,False,True,False,False,0
45.0,0,172.0,75.0,1700,80,190,50,overnight oats with fruit and chia seeds,Lentil and vegetable soup with whole-wheat bread,Tofu stir-fry with brown rice and vegetables,Banana with almond butter,oatmeal-based,False,False,True,False,False,False,True,False,False,True,False,1
28.0,0,165.0,55.0,1800,75,200,50,oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Lentil soup with whole wheat bread,Greek yogurt with fruit and granola,oatmeal-based,True,False,False,False,False,False,True,False,True,False,False,1
55.0,1,180.0,90.0,2500,90,300,70,tofu scramble with vegetables,Lentil and vegetable curry with brown rice,Quinoa salad with roasted vegetables,Trail mix,tofu-based,False,True,False,False,True,False,False,False,False,False,True,4
32.0,0,170.0,60.0,2400,100,350,60,tofu and vegetable stir-fry with brown rice,Black bean burgers with sweet potato fries,Lentil and vegetable stew,Fruit and nut mix,tofu-based,False,False,False,True,False,True,False,False,False,True,False,4
22.0,1,190.0,85.0,2000,80,250,55,scrambled eggs with whole wheat toast,Chicken breast with brown rice and steamed vegetables,Salmon with roasted vegetables,Low-fat Greek yogurt with berries,egg-based,False,False,True,False,False,False,True,False,True,False,False,0
62.0,0,160.0,70.0,1800,70,220,50,tofu and vegetable scramble with whole wheat toast,Chickpea salad sandwich on whole wheat bread,Lentil and vegetable stew with brown rice,Fruit and nut mix,tofu-based,False,True,False,False,True,False,False,False,False,True,False,4
25.0,1,185.0,95.0,2800,120,380,80,greek yogurt with fruit and granola,Chicken breast with brown rice and roasted vegetables,Steak with sweet potato and green beans,Protein bar,yogurt-based,True,False,False,False,False,True,False,False,True,False,False,5
40.0,0,175.0,75.0,2000,80,250,55,tofu scramble with vegetables,Black bean burger with whole wheat bun,Lentil and vegetable stew with brown rice,Fruit and nut mix,tofu-based,False,False,False,True,False,False,True,False,False,False,True,4
38.0,1,178.0,80.0,2200,85,280,65,tofu and vegetable stir-fry with brown rice,Black bean burgers with sweet potato fries,Lentil and vegetable curry with brown rice,Fruit and nut mix,tofu-based,False,False,True,False,True,False,False,False,False,True,False,4
20.0,0,168.0,50.0,2200,90,300,60,oatmeal with berries and nuts,Chicken breast with brown rice and steamed vegetables,Salmon with roasted vegetables,Protein bar,oatmeal-based,True,False,False,False,False,True,False,False,True,False,False,1
58.0,1,175.0,85.0,2300,80,300,70,tofu and vegetable scramble with whole wheat toast,Lentil and vegetable curry with brown rice,Quinoa salad with roasted vegetables,Trail mix,tofu-based,False,True,False,False,True,False,False,False,False,False,True,4
25.0,1,175.0,75.0,2200,150,250,60,greek yogurt with berries and granola,Quinoa salad with chicken and vegetables,Grilled salmon with roasted vegetables,Fruit and nuts,yogurt-based,False,True,False,False,False,False,True,False,True,False,False,5
38.0,0,165.0,60.0,1800,100,200,50,tofu scramble with vegetables and whole-wheat toast,Lentil soup with whole-wheat bread,Vegetable stir-fry with brown rice,Trail mix,tofu-based,True,False,False,False,True,False,False,False,False,False,True,4
55.0,1,180.0,90.0,1800,120,200,40,oatmeal with fruit and nuts,Chicken breast salad with mixed greens,Tuna salad sandwich on whole-wheat bread,Fruit and yogurt,oatmeal-based,False,False,True,False,False,False,True,False,True,False,False,1
62.0,0,160.0,70.0,1600,80,180,40,tofu and vegetable stir-fry with brown rice,Lentil soup with whole-wheat bread,Black bean burgers on whole-wheat buns,Raw vegetables and hummus,tofu-based,False,False,True,False,True,False,False,False,False,True,False,4
28.0,0,170.0,65.0,2500,180,300,80,scrambled eggs with whole-wheat toast and avocado,Chicken breast with brown rice and vegetables,Steak with sweet potato and broccoli,Protein shake,egg-based,False,False,False,True,False,True,False,False,True,False,False,0
32.0,1,185.0,85.0,2000,140,220,50,tofu scramble with vegetables and whole-wheat toast,Lentil soup with whole-wheat bread,Chickpea curry with brown rice,Fruit and nuts,tofu-based,False,True,False,False,False,False,True,False,False,True,False,4
68.0,1,170.0,80.0,1600,100,180,40,oatmeal with fruit and nuts,Tuna salad sandwich on whole-wheat bread,Chicken breast with roasted vegetables and sweet potato,Fruit and yogurt,oatmeal-based,True,False,False,False,False,False,True,False,True,False,False,1
45.0,0,165.0,65.0,2300,150,280,70,tofu and vegetable stir-fry with brown rice,Chickpea salad with mixed greens,Lentil stew with whole-wheat bread,Trail mix,tofu-based,False,False,False,True,False,True,False,False,False,False,True,4
72.0,0,155.0,55.0,1400,70,160,30,scrambled eggs with whole-wheat toast,Chicken breast salad with mixed greens,Tuna salad sandwich on whole-wheat bread,Fruit and yogurt,egg-based,False,False,True,False,True,False,False,False,True,False,False,0
21.0,1,190.0,95.0,2400,160,280,60,greek yogurt with berries and granola,Quinoa salad with chicken and vegetables,Grilled chicken with roasted vegetables,Fruit and nuts,yogurt-based,False,True,False,False,False,False,True,False,True,False,False,5
25.0,1,180.0,80.0,2200,120,250,60,greek yogurt with berries and granola,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Apple with almond butter,yogurt-based,False,True,False,False,False,False,True,False,True,False,False,5
30.0,0,165.0,65.0,2000,100,200,60,tofu scramble with vegetables and avocado,Lentil soup with whole-wheat bread,Quinoa bowl with roasted chickpeas and vegetables,Trail mix with nuts and dried fruit,tofu-based,True,False,False,False,False,True,False,False,False,False,True,4
55.0,1,175.0,90.0,1800,90,180,50,oatmeal with fruit and nuts,Tuna salad sandwich on whole-wheat bread,Chicken stir-fry with brown rice,Celery sticks with peanut butter,oatmeal-based,False,False,True,False,False,False,True,False,True,False,False,1
